municipalityId,domain,sourceUrl,sectionNumber,anchorId,sectionUrl
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-1,5110642,https://ecode360.com/5110642#5110642
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-2,5110644,https://ecode360.com/5110642#5110644
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-3,5110648,https://ecode360.com/5110642#5110648
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-4,5110653,https://ecode360.com/5110642#5110653
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-5,5110654,https://ecode360.com/5110642#5110654
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-6,5110666,https://ecode360.com/5110642#5110666
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-7,5110667,https://ecode360.com/5110642#5110667
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-8,5110668,https://ecode360.com/5110642#5110668
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-1,5110643,https://ecode360.com/5110642#5110643
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-2,5110643,https://ecode360.com/5110642#5110643
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-3,5110644,https://ecode360.com/5110642#5110644
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-4,5110648,https://ecode360.com/5110642#5110648
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-5,5110653,https://ecode360.com/5110642#5110653
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-6,5110654,https://ecode360.com/5110642#5110654
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-7,5110666,https://ecode360.com/5110642#5110666
NY-Ardsley-Village,cac-cb-etc,https://ecode360.com/5110642,§ 14-8,5110667,https://ecode360.com/5110642#5110667
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-1,7688560,https://ecode360.com/7688560#7688560
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-2,7688562,https://ecode360.com/7688560#7688562
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-3,7688563,https://ecode360.com/7688560#7688563
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-4,7688568,https://ecode360.com/7688560#7688568
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-5,7688569,https://ecode360.com/7688560#7688569
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-6,7688581,https://ecode360.com/7688560#7688581
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-7,7688582,https://ecode360.com/7688560#7688582
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-8,7688583,https://ecode360.com/7688560#7688583
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-1,7688561,https://ecode360.com/7688560#7688561
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-2,7688561,https://ecode360.com/7688560#7688561
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-3,7688562,https://ecode360.com/7688560#7688562
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-4,7688563,https://ecode360.com/7688560#7688563
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-5,7688568,https://ecode360.com/7688560#7688568
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-6,7688569,https://ecode360.com/7688560#7688569
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-7,7688581,https://ecode360.com/7688560#7688581
NY-BriarcliffManor-Village,cac-cb-etc,https://ecode360.com/7688560,§ 18-8,7688582,https://ecode360.com/7688560#7688582
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-1,7691654,https://ecode360.com/7691654#7691654
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-2,7691656,https://ecode360.com/7691654#7691656
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-3,7691657,https://ecode360.com/7691654#7691657
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-4,7691660,https://ecode360.com/7691654#7691660
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-5,7691661,https://ecode360.com/7691654#7691661
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-6,7691673,https://ecode360.com/7691654#7691673
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-7,7691674,https://ecode360.com/7691654#7691674
NY-Cortlandt-Town,cac-cb-etc,https://ecode360.com/7691654,§ 15-8,7691675,https://ecode360.com/7691654#7691675
